,state_postal,candidato,sum(votes)
0,CA,Hillary Clinton,8755065
1,CO,Hillary Clinton,1338870
2,CT,Hillary Clinton,897572
3,DC,Hillary Clinton,282830
4,DE,Hillary Clinton,235603
5,HI,Hillary Clinton,266891
6,IL,Hillary Clinton,3091904
7,MA,Hillary Clinton,1995196
8,MD,Hillary Clinton,1677928
9,ME,Hillary Clinton,357582
10,MN,Hillary Clinton,1367716
11,NH,Hillary Clinton,348526
12,NJ,Hillary Clinton,2148239
13,NM,Hillary Clinton,385234
14,NV,Hillary Clinton,539132
15,NY,Hillary Clinton,4556131
16,OR,Hillary Clinton,1002106
17,RI,Hillary Clinton,252525
18,VA,Hillary Clinton,1981473
19,VT,Hillary Clinton,178573
20,WA,Hillary Clinton,1741603
21,AK,Donald Trump,163387
22,AL,Donald Trump,1317127
23,AR,Donald Trump,684872
24,AZ,Donald Trump,1252389
25,FL,Donald Trump,4617879
26,GA,Donald Trump,2089104
27,IA,Donald Trump,800983
28,ID,Donald Trump,409055
29,IN,Donald Trump,1557111
30,KS,Donald Trump,671020
31,KY,Donald Trump,1202924
32,LA,Donald Trump,1178638
33,MI,Donald Trump,2279543
34,MO,Donald Trump,1594511
35,MS,Donald Trump,700714
36,MT,Donald Trump,279240
37,NC,Donald Trump,2362631
38,ND,Donald Trump,216794
39,NE,Donald Trump,496142
40,OH,Donald Trump,2841005
41,OK,Donald Trump,949136
42,PA,Donald Trump,2970378
43,SC,Donald Trump,1155389
44,SD,Donald Trump,227701
45,TN,Donald Trump,1522925
46,TX,Donald Trump,4684288
47,UT,Donald Trump,515869
48,WI,Donald Trump,1404000
49,WV,Donald Trump,489351
50,WY,Donald Trump,174419
